Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,28,SAC,31,0,530,7.0,18.5,.377,0.3,2.1,.161,6.7,16.4,.405,1.1,1.1,1.000,0.4,2.1,2.5,3.9,1.1,0.1,1.3,2.1,15.4
Tariq Abdul-Wahad,SG,23,SAC,59,16,959,5.4,13.4,.403,0.2,0.7,.211,5.3,12.7,.414,3.2,4.7,.672,1.7,2.7,4.4,1.9,1.3,0.5,2.4,3.0,14.1
Shareef Abdur-Rahim,SF,21,VAN,82,82,2950,8.0,16.4,.485,0.3,0.6,.412,7.7,15.8,.488,6.1,7.8,.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
Cory Alexander,PG,24,TOT,60,22,1298,4.7,11.1,.428,1.8,4.9,.375,2.9,6.2,.469,2.2,2.8,.784,0.5,3.6,4.0,5.8,1.9,0.3,3.1,2.7,13.5
Cory Alexander,PG,24,SAS,37,3,501,4.3,10.4,.414,1.4,4.6,.313,2.9,5.8,.494,1.8,2.7,.676,0.5,2.9,3.4,5.1,1.8,0.4,3.4,3.8,11.9
Cory Alexander,PG,24,DEN,23,19,797,5.0,11.5,.435,2.1,5.1,.411,2.9,6.5,.455,2.5,2.9,.846,0.5,4.0,4.5,6.2,2.0,0.3,2.9,2.0,14.6
Ray Allen*,SG,22,MIL,82,82,3287,6.2,14.4,.428,1.5,4.0,.364,4.7,10.4,.453,3.7,4.3,.875,1.4,3.0,4.4,3.9,1.2,0.1,2.9,2.7,17.5
Derek Anderson,SF,23,CLE,66,13,1839,4.7,11.5,.408,0.3,1.6,.202,4.3,9.8,.442,5.4,6.2,.873,1.1,2.6,3.7,4.4,1.7,0.3,2.5,2.7,15.1
Greg Anderson,C,33,ATL,50,0,398,3.3,7.3,.444,0.0,0.5,.000,3.3,6.9,.474,1.4,3.7,.390,3.5,7.1,10.7,1.4,1.7,0.9,1.5,7.7,8.0
Kenny Anderson,PG,27,TOT,61,56,1858,5.2,13.1,.398,1.1,3.1,.356,4.1,10.0,.411,3.0,3.8,.789,0.8,2.6,3.4,6.7,1.7,0.0,2.8,2.6,14.5
Kenny Anderson,PG,27,POR,45,40,1472,5.0,12.9,.387,1.1,3.3,.353,3.8,9.6,.398,2.7,3.5,.772,0.9,2.4,3.3,6.0,1.5,0.0,2.8,2.4,13.9
Kenny Anderson,PG,27,BOS,16,16,386,6.0,13.7,.435,0.9,2.5,.370,5.0,11.2,.450,3.8,4.6,.837,0.3,3.4,3.6,9.3,2.4,0.0,2.7,3.4,16.7
Nick Anderson,SF,30,ORL,58,44,1701,7.3,16.0,.455,1.6,4.5,.360,5.6,11.4,.493,2.7,4.2,.638,2.1,4.2,6.3,2.5,1.5,0.5,1.8,2.1,18.8
Shandon Anderson,SG,24,UTA,82,2,1602,6.0,11.2,.538,0.2,0.7,.219,5.9,10.5,.560,3.1,4.2,.735,1.9,3.2,5.1,2.0,1.5,0.4,2.0,3.3,15.3
Chris Anstey,C,23,DAL,41,8,680,4.9,12.2,.398,0.2,0.8,.188,4.7,11.4,.414,2.8,3.9,.716,2.8,5.5,8.3,1.9,1.6,1.4,2.2,5.0,12.7
Greg Anthony,PG,30,SEA,80,0,1021,5.3,12.3,.430,2.3,5.6,.415,3.0,6.7,.442,1.9,2.8,.663,0.6,3.3,3.9,7.2,2.3,0.1,3.2,3.4,14.8
B.J. Armstrong,PG,30,TOT,66,0,831,4.5,9.2,.493,0.4,1.5,.257,4.2,7.7,.539,1.8,2.2,.840,0.7,2.6,3.3,6.5,1.3,0.0,1.8,3.2,11.3
B.J. Armstrong,PG,30,GSW,4,0,59,3.7,11.6,.316,0.0,0.6,.000,3.7,11.0,.333,3.1,4.3,.714,2.4,1.8,4.3,3.7,2.4,0.0,4.3,3.7,10.4
B.J. Armstrong,PG,30,CHH,62,0,772,4.6,9.0,.510,0.4,1.6,.265,4.2,7.5,.563,1.7,2.0,.860,0.6,2.7,3.2,6.7,1.2,0.0,1.6,3.2,11.4
Darrell Armstrong,PG,29,ORL,48,17,1236,4.5,11.1,.411,0.7,2.0,.368,3.8,9.1,.420,3.1,3.6,.854,1.9,2.7,4.6,6.9,1.7,0.1,3.3,2.8,12.9
Vincent Askew,SG,31,POR,30,5,443,1.5,4.4,.352,0.0,0.2,.000,1.5,4.2,.365,2.3,3.2,.718,1.7,3.8,5.5,3.1,1.5,0.4,2.8,3.2,5.4
Keith Askins,SF,30,MIA,46,12,681,2.1,6.4,.320,1.1,3.9,.284,1.0,2.5,.375,0.6,1.0,.632,1.5,3.9,5.3,1.5,1.4,0.6,1.4,5.7,5.9
Stacey Augmon,SG,29,POR,71,23,1445,3.8,9.3,.414,0.0,0.2,.143,3.8,9.1,.419,2.3,3.9,.603,2.6,3.3,5.9,2.2,1.4,0.8,2.0,3.6,10.0
Isaac Austin,C,28,TOT,78,50,2266,6.5,13.8,.466,0.0,0.1,.000,6.5,13.7,.470,3.9,5.8,.669,3.2,5.7,8.8,2.8,1.0,0.9,3.3,3.7,16.8
Isaac Austin,C,28,MIA,52,25,1371,6.6,14.0,.474,0.0,0.1,.000,6.6,13.9,.476,4.1,6.0,.680,3.1,5.5,8.7,2.3,1.1,0.9,3.1,4.3,17.3
Isaac Austin,C,28,LAC,26,25,895,6.2,13.6,.454,0.0,0.2,.000,6.2,13.4,.461,3.5,5.4,.652,3.2,5.9,9.1,3.5,0.7,0.9,3.6,2.8,15.9
Vin Baker,C,26,SEA,82,82,2944,7.7,14.2,.542,0.0,0.1,.143,7.7,14.1,.545,3.8,6.4,.591,3.5,4.5,8.0,1.9,1.1,1.1,2.1,3.4,19.2
Charles Barkley*,PF,34,HOU,68,41,2243,5.8,11.9,.485,0.3,1.3,.214,5.5,10.6,.520,4.8,6.4,.746,3.9,8.9,12.7,3.5,1.1,0.4,2.4,3.0,16.6
Dana Barros,PG,30,BOS,80,15,1686,6.0,13.0,.461,2.1,5.3,.407,3.9,7.8,.499,2.6,3.1,.847,0.6,2.7,3.3,6.1,1.8,0.1,2.3,2.6,16.7
Brent Barry,SG,26,TOT,58,36,1600,4.8,11.4,.421,2.0,5.2,.393,2.8,6.2,.444,2.6,3.0,.858,0.7,3.2,3.8,3.4,1.4,0.6,2.3,2.7,14.2
Brent Barry,SG,26,LAC,41,36,1341,5.1,11.9,.428,2.1,5.2,.400,3.0,6.7,.450,2.8,3.3,.844,0.7,3.1,3.8,3.5,1.3,0.6,2.6,2.4,15.1
Brent Barry,SG,26,MIA,17,0,259,3.2,8.6,.371,1.7,4.7,.353,1.5,3.9,.393,1.7,1.7,1.000,0.3,3.6,3.9,2.9,1.9,0.6,1.3,4.2,9.7
Drew Barry,PG,24,ATL,27,0,256,2.5,5.3,.474,1.3,3.0,.429,1.3,2.4,.529,1.5,1.8,.846,0.7,4.2,4.9,6.9,1.4,0.1,4.2,3.9,7.9
Jon Barry,SG,28,LAL,49,1,374,3.7,10.0,.365,1.7,5.9,.295,1.9,4.1,.465,2.6,2.8,.931,0.8,2.8,3.6,4.9,2.3,0.3,2.1,3.2,11.6
Tony Battie,PF,21,DEN,65,49,1506,5.6,12.5,.446,0.1,0.3,.214,5.5,12.2,.452,1.7,2.5,.702,3.3,5.1,8.4,1.4,1.3,1.6,2.3,4.8,13.0
Corey Beck,PG,26,CHH,59,14,738,3.6,7.8,.459,0.1,0.2,.500,3.5,7.6,.458,2.1,2.9,.729,1.3,3.1,4.4,4.8,1.6,0.3,3.4,4.9,9.3
Benoit Benjamin,C,33,PHI,14,0,197,4.0,7.5,.537,0.0,0.0, ,4.0,7.5,.537,3.5,5.5,.633,3.3,6.4,9.7,0.5,0.7,0.7,2.2,4.8,11.5
Mario Bennett,PF,24,LAL,45,4,354,8.1,13.7,.593,0.1,0.2,.500,8.0,13.5,.594,1.6,4.5,.364,6.1,6.7,12.8,1.8,1.9,1.1,2.1,6.2,18.0
