Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Don Anielak,F,24,NYK,1, ,10.0,0.0,4.0,.000, , , ,0.0,4.0,.000,.000,3.0,4.0,.750, , ,2.0,0.0, , , ,0.0,3.0
Paul Arizin*,SF,26,PHW,72, ,41.0,7.3,18.4,.399, , , ,7.3,18.4,.399,.399,6.3,8.1,.776, , ,9.4,2.9, , , ,3.8,21.0
Jim Baechtold,SF,27,NYK,72, ,35.2,5.0,12.5,.403, , , ,5.0,12.5,.403,.403,3.9,4.7,.823, , ,4.3,3.0, , , ,2.8,13.9
Don Barksdale*,SF,31,BOS,72, ,24.9,3.7,9.7,.382, , , ,3.7,9.7,.382,.382,3.1,4.7,.651, , ,7.6,1.8, , , ,3.1,10.5
Bob Brannum,PF,29,BOS,71, ,22.9,2.5,6.5,.378, , , ,2.5,6.5,.378,.378,1.3,1.8,.709, , ,6.9,1.8, , , ,3.3,6.2
Carl Braun,SG,27,NYK,71, ,34.9,5.6,14.5,.388, , , ,5.6,14.5,.388,.388,3.9,4.8,.801, , ,4.2,3.9, , , ,2.9,15.1
Tom Brennan,SF,24,PHW,11, ,4.7,0.5,1.0,.455, , , ,0.5,1.0,.455,.455,0.0,0.0, , , ,0.5,0.2, , , ,0.5,0.9
Frankie Brian,SG,31,FTW,71, ,19.5,3.3,8.8,.380, , , ,3.3,8.8,.380,.380,3.1,3.6,.851, , ,1.8,2.0, , , ,1.9,9.7
Bill Calhoun,SG,27,MLH,69, ,30.6,2.1,7.0,.300, , , ,2.1,7.0,.300,.300,2.4,3.4,.703, , ,4.2,3.4, , , ,2.6,6.6
Bob Carney,SG,22,MNL,19, ,12.8,1.3,3.4,.375, , , ,1.3,3.4,.375,.375,1.1,2.1,.525, , ,2.4,0.8, , , ,1.9,3.6
Fred Christ,G,24,NYK,6, ,8.0,0.8,3.0,.278, , , ,0.8,3.0,.278,.278,1.7,1.8,.909, , ,1.3,1.2, , , ,0.5,3.3
